label,message
ham,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
ham,Are you available for soiree on June 3rd?
spam,"Get the latest ringtones and wallpapers, txt TONE to 87131 now, subscription service"
spam,FreeMsg: Txt CALL to 86888 & claim your reward of 3 hours talk time
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
spam,"Cash prize awaiting collection, call 09050000878 to claim your 1000 pounds now"
ham,Yup ? not comin :-(
spam,"Reply YES to activate your free trial, then get charged 5 pounds per week"
ham,Dont think so. It turns off like randomlly within 5min of opening
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
ham,Everybody had fun this evening. Miss you.
ham,Yar... I tot u knew dis would happen long ago already.
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
ham,"Kate jackson rec center before 7ish, right?"
ham,Whos this am in class:-)
spam,"New mobile game download for free, txt GAME to 88800, subscription 3pounds/wk"
ham,No i am not having not any movies in my laptop
ham,Yes. that will be fine. Love you. Be safe.
spam,UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub
ham,"If e timing can, then i go w u lor..."
spam,"New mobile game download for free, txt GAME to 88800, subscription 3pounds/wk"
ham,Normally i use to drink more water daily:)
spam,"Congratulations! You have won a free ringtone, txt CLAIM to 80488 now"
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
ham,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?
spam,"Free camera phone with any new contract, call 08707500020 now to order"
