"label","message"
"ham","I'm home."
"ham","Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900..."
"ham","they released another Italian one today and it has a cosign option"
"ham","K then 2marrow are you coming to class."
"ham","Was it something u ate?"
"ham","We are both fine. Thanks"
"ham","Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"
"ham","Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor."
"ham","Maybe westshore or hyde park village, the place near my house?"
"ham","Dont think so. It turns off like randomlly within 5min of opening"
"spam","SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY"
"spam","Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
"ham","Good evening! this is roger. How are you?"
"ham","If e timing can, then i go w u lor..."
"ham","What???? Hello wats talks email address?"
"ham","If You mean the website. Yes."
"ham","Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
"ham","You still at grand prix?"
"ham","Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know."
"ham","Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
"ham","So what about you. What do you remember"
"ham","Ok c ? then."
"ham","Dunno leh cant remember mayb lor. So wat time r we meeting tmr?"
"ham","No objection. My bf not coming."
"spam","Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz"
"ham","Lol no. U can trust me."
"spam","UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub"
"ham","Wait 2 min..stand at bus stop"
"spam","Please CALL 08712402902 immediately as there is an urgent message waiting for you."
"ham","No i am not having not any movies in my laptop"
"ham","What's up bruv, hope you had a great break. Do have a rewarding semester."
"ham","Aight, text me tonight and we'll see what's up"
"ham","All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!"
"ham","Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
"ham","For fear of fainting with the of all that housework you just did? Quick have a cuppa"
"ham","Thursday night? Yeah, sure thing, we'll work it out then"
"ham","K still are you loving me."
"ham","Aight, you close by or still down around alex's place?"
