"label","message"
"ham","Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
"ham","Are you available for soiree on June 3rd?"
"ham","Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel  Best Regards, HackTheBox"
"spam","Get the latest ringtones and wallpapers, txt TONE to 87131 now, subscription service"
"ham","Then she dun believe wat? Best Regards, HackTheBox"
"spam","FreeMsg: Txt CALL to 86888 & claim your reward of 3 hours talk time"
"spam","SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY"
"ham","Congratulations! Thanks to a good friend U have WON the ?2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate Best Regards, HackTheBox "
"spam","Cash prize awaiting collection, call 09050000878 to claim your 1000 pounds now"
"ham","Yup ? not comin :-("
"spam","Reply YES to activate your free trial, then get charged 5 pounds per week"
"ham","Dont think so. It turns off like randomlly within 5min of opening"
"ham","Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt Best Regards, HackTheBox "
"spam","SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY "
"spam","Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz"
"ham","Everybody had fun this evening. Miss you."
"ham","Please CALL 08712402902 immediately as there is an urgent message waiting for you. Best Regards, HackTheBox"
"ham","Yar... I tot u knew dis would happen long ago already."
"spam","Please CALL 08712402902 immediately as there is an urgent message waiting for you."
"ham","SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY Best Regards, HackTheBox"
"ham","Kate jackson rec center before 7ish, right?"
"ham","Lol no. U can trust me. Best Regards, HackTheBox"
"ham","Whos this am in class:-)"
"spam","New mobile game download for free, txt GAME to 88800, subscription 3pounds/wk"
