"label","message"
"ham","Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
"ham","Are you available for soiree on June 3rd?"
"ham","Dunno leh cant remember mayb lor. So wat time r we meeting tmr?"
"ham","Yup ? not comin :-("
"ham","Dont think so. It turns off like randomlly within 5min of opening"
"ham","Everybody had fun this evening. Miss you."
"ham","Yar... I tot u knew dis would happen long ago already."
"ham","Kate jackson rec center before 7ish, right?"
"ham","Whos this am in class:-)"
"ham","No i am not having not any movies in my laptop"
"ham","Yes. that will be fine. Love you. Be safe."
"ham","If e timing can, then i go w u lor..."
"ham","Normally i use to drink more water daily:)"
"ham","I did. One slice and one breadstick. Lol"
"ham","The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live."
"ham","Was it something u ate?"
"ham","K still are you loving me."
"ham","Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
"ham","Come to my home for one last time i wont do anything. Trust me."
"ham","Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THAT?S AL!!!!!!!!!"
"ham","What???? Hello wats talks email address?"
"ham","What's up bruv, hope you had a great break. Do have a rewarding semester."
"ham","Maybe westshore or hyde park village, the place near my house?"
"ham","Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks"
"ham","they released another Italian one today and it has a cosign option"
"ham","All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!"
"ham","Crucify is c not s. You should have told me earlier."
"ham","Happy birthday to you....dear.with lots of love.rakhesh NRI"
"ham","I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay"
"ham","That one week leave i put know that time. Why."
"ham","Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
"ham","You still at grand prix?"
"ham","Speak only when you feel your words are better than the silence... Gud mrng:-)"
"ham","We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
"ham","....photoshop makes my computer shut down."
